Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,win_percentage,ranking,MVP
96.0,Kyle Kuzma,29.0,2TM,PF,65.0,62.0,29.8,5.7,13.0,0.436,1.5,4.8,0.307,4.2,8.2,0.512,0.493,2.0,3.1,0.634,0.8,4.9,5.7,2.3,0.6,0.3,2.2,1.8,14.8,,0.2276923076923077,0.03538461538461538,0.0876923076923077,0.00923076923076923,0.004615384615384615,0.016263736263736263,0.007076923076923076,0.010961538461538462,0.00923076923076923,0.004615384615384615,0.3944,,,0
97.0,Stephon Castle,20.0,SAS,PG,81.0,47.0,26.7,5.2,12.2,0.428,1.2,4.1,0.285,4.0,8.1,0.501,0.476,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,ROY-1,0.18148148148148147,0.05061728395061728,0.04567901234567901,0.011111111111111112,0.0037037037037037034,0.012962962962962963,0.010123456790123456,0.005709876543209876,0.011111111111111112,0.0037037037037037034,0.38079999999999997,0.415,23.0,0
98.0,Aaron Gordon,29.0,DEN,PF,51.0,42.0,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,0.28823529411764703,0.06274509803921569,0.09411764705882353,0.00980392156862745,0.0058823529411764705,0.020588235294117647,0.012549019607843137,0.011764705882352941,0.00980392156862745,0.0058823529411764705,0.4856,0.61,8.0,0
99.0,P.J. Washington,26.0,DAL,PF,57.0,56.0,32.2,5.3,11.7,0.453,1.6,4.2,0.381,3.7,7.5,0.493,0.521,2.5,3.5,0.722,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7,,0.25789473684210523,0.04035087719298245,0.1368421052631579,0.01929824561403509,0.01929824561403509,0.018421052631578946,0.00807017543859649,0.017105263157894738,0.01929824561403509,0.01929824561403509,0.4168,0.476,19.0,0
100.0,Quentin Grimes,24.0,2TM,SG,75.0,37.0,26.8,5.1,11.0,0.467,2.2,5.6,0.385,3.0,5.4,0.552,0.565,2.2,2.9,0.757,0.8,3.5,4.3,3.0,1.0,0.3,1.9,1.8,14.6,,0.19466666666666665,0.04,0.05733333333333333,0.013333333333333334,0.004,0.013904761904761904,0.008,0.007166666666666667,0.013333333333333334,0.004,0.45199999999999996,,,0
101.0,Josh Giddey,22.0,CHI,PG,70.0,69.0,30.2,5.3,11.4,0.465,1.5,4.0,0.378,3.8,7.4,0.512,0.531,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,,0.20857142857142857,0.10285714285714286,0.11571428571428571,0.017142857142857144,0.008571428571428572,0.01489795918367347,0.02057142857142857,0.014464285714285714,0.017142857142857144,0.008571428571428572,0.4248,0.476,18.0,0
102.0,Jakob Poeltl,29.0,TOR,C,57.0,56.0,29.6,6.4,10.2,0.627,0.0,0.1,0.333,6.4,10.1,0.628,0.628,1.7,2.5,0.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,,0.2543859649122807,0.04912280701754386,0.16842105263157894,0.021052631578947368,0.021052631578947368,0.01817042606516291,0.009824561403508772,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.5024,0.366,24.0,0
103.0,Deandre Ayton,26.0,POR,C,40.0,40.0,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,,0.36,0.04,0.255,0.02,0.025,0.025714285714285714,0.008,0.031875,0.02,0.025,0.4584,0.439,22.0,0
104.0,Gradey Dick,21.0,TOR,SG,54.0,54.0,29.4,4.9,12.0,0.41,2.1,6.0,0.35,2.8,5.9,0.47,0.498,2.5,2.9,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,,0.26666666666666666,0.03333333333333333,0.06666666666666667,0.016666666666666666,0.003703703703703704,0.019047619047619046,0.006666666666666666,0.008333333333333333,0.016666666666666666,0.003703703703703704,0.3984,0.366,24.0,0
105.0,Jerami Grant,30.0,POR,PF,47.0,47.0,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3.0,3.5,0.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,,0.30638297872340425,0.04468085106382979,0.07446808510638298,0.019148936170212766,0.02127659574468085,0.02188449848024316,0.008936170212765958,0.009308510638297872,0.019148936170212766,0.02127659574468085,0.37360000000000004,0.439,22.0,0
106.0,Payton Pritchard,27.0,BOS,PG,80.0,3.0,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,6MOY-1,0.17875000000000002,0.04375,0.0475,0.01125,0.0025,0.012767857142857145,0.008749999999999999,0.0059375,0.01125,0.0025,0.496,0.744,3.0,0
107.0,Naz Reid,25.0,MIN,C,80.0,17.0,27.5,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,6MOY-5,0.1775,0.028749999999999998,0.075,0.008749999999999999,0.01125,0.012678571428571428,0.00575,0.009375,0.008749999999999999,0.01125,0.44480000000000003,0.598,10.0,0
108.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,33.8,6.0,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,"DPOY-2,MIP-1,DEF1",0.18552631578947368,0.05789473684210527,0.07763157894736843,0.039473684210526314,0.009210526315789473,0.01325187969924812,0.011578947368421053,0.009703947368421053,0.039473684210526314,0.009210526315789473,0.4288,0.488,16.0,0
109.0,Tre Mann,23.0,CHO,PG,13.0,0.0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,,1.0846153846153845,0.23076923076923078,0.22307692307692306,0.038461538461538464,0.023076923076923075,0.07747252747252746,0.046153846153846156,0.027884615384615383,0.038461538461538464,0.023076923076923075,0.4072,0.232,28.0,0
110.0,Amen Thompson,22.0,HOU,SF,69.0,42.0,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,"DPOY-5,DEF1",0.2043478260869565,0.05507246376811594,0.11884057971014492,0.020289855072463767,0.01884057971014493,0.014596273291925465,0.011014492753623189,0.014855072463768115,0.020289855072463767,0.01884057971014493,0.45999999999999996,0.634,4.0,0
111.0,Fred VanVleet,30.0,HOU,PG,60.0,60.0,35.2,4.8,12.7,0.378,2.7,7.7,0.345,2.1,5.0,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,14.1,,0.235,0.09333333333333332,0.06166666666666667,0.02666666666666667,0.006666666666666667,0.016785714285714286,0.018666666666666665,0.0077083333333333335,0.02666666666666667,0.006666666666666667,0.38639999999999997,0.634,4.0,0
112.0,Dillon Brooks,29.0,HOU,SF,75.0,75.0,31.8,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,0.533,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,,0.18666666666666668,0.022666666666666665,0.04933333333333333,0.010666666666666668,0.002666666666666667,0.013333333333333334,0.004533333333333333,0.006166666666666667,0.010666666666666668,0.002666666666666667,0.4264,0.634,4.0,0
113.0,Tolu Smith,24.0,DET,PF,1.0,0.0,22.0,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,3.0,0.667,4.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,14.0,,14.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5336000000000001,0.537,14.0,0
114.0,Klay Thompson,34.0,DAL,SF,72.0,72.0,27.3,5.0,12.2,0.412,3.0,7.7,0.391,2.0,4.5,0.448,0.535,0.9,1.0,0.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,,0.19444444444444445,0.027777777777777776,0.04722222222222222,0.009722222222222222,0.005555555555555556,0.01388888888888889,0.005555555555555555,0.005902777777777778,0.009722222222222222,0.005555555555555556,0.42800000000000005,0.476,19.0,0
115.0,Bobby Portis,29.0,MIL,PF,49.0,7.0,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,,0.2836734693877551,0.04285714285714286,0.17142857142857143,0.014285714285714285,0.01020408163265306,0.020262390670553937,0.008571428571428572,0.02142857142857143,0.014285714285714285,0.01020408163265306,0.41600000000000004,0.585,11.0,0
116.0,Tobias Harris,32.0,DET,PF,73.0,73.0,31.6,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,,0.1876712328767123,0.030136986301369864,0.08082191780821918,0.0136986301369863,0.010958904109589041,0.013405088062622307,0.006027397260273973,0.010102739726027397,0.0136986301369863,0.010958904109589041,0.4272,0.537,14.0,0
117.0,Josh Hart,29.0,NYK,SG,77.0,77.0,37.6,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,,0.17662337662337663,0.07662337662337662,0.12467532467532468,0.01948051948051948,0.005194805194805195,0.012615955473098331,0.015324675324675324,0.015584415584415584,0.01948051948051948,0.005194805194805195,0.46319999999999995,0.622,5.0,0
118.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,,0.16463414634146342,0.023170731707317073,0.11829268292682926,0.010975609756097562,0.010975609756097562,0.011759581881533102,0.004634146341463414,0.014786585365853658,0.010975609756097562,0.010975609756097562,0.5648,0.78,2.0,0
119.0,Onyeka Okongwu,24.0,ATL,C,74.0,40.0,27.9,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,,0.1810810810810811,0.03108108108108108,0.12027027027027028,0.012162162162162163,0.012162162162162163,0.012934362934362936,0.006216216216216216,0.015033783783783785,0.012162162162162163,0.012162162162162163,0.4816,0.488,16.0,0
120.0,Russell Westbrook,36.0,DEN,PG,75.0,36.0,27.9,5.0,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,6MOY-7,0.17733333333333334,0.08133333333333333,0.06533333333333334,0.018666666666666665,0.006666666666666667,0.012666666666666668,0.016266666666666665,0.008166666666666668,0.018666666666666665,0.006666666666666667,0.404,0.61,8.0,0
121.0,Naji Marshall,27.0,DAL,SF,69.0,31.0,27.8,5.2,10.3,0.508,0.9,3.2,0.275,4.4,7.2,0.611,0.551,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2,,0.19130434782608693,0.043478260869565216,0.06956521739130435,0.014492753623188406,0.002898550724637681,0.013664596273291923,0.008695652173913044,0.008695652173913044,0.014492753623188406,0.002898550724637681,0.4408,0.476,19.0,0
122.0,Dennis Schröder,31.0,3TM,PG,75.0,49.0,28.1,4.5,11.0,0.406,1.7,4.9,0.342,2.8,6.1,0.458,0.483,2.4,2.9,0.838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1,,0.17466666666666666,0.07200000000000001,0.034666666666666665,0.012,0.002666666666666667,0.012476190476190476,0.014400000000000001,0.004333333333333333,0.012,0.002666666666666667,0.38639999999999997,,,0
123.0,Rui Hachimura,26.0,LAL,PF,59.0,57.0,31.7,5.0,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1,,0.22203389830508474,0.02372881355932203,0.0847457627118644,0.013559322033898306,0.006779661016949153,0.01585956416464891,0.0047457627118644066,0.01059322033898305,0.013559322033898306,0.006779661016949153,0.47759999999999997,0.61,7.0,0
124.0,Brook Lopez,36.0,MIL,C,80.0,80.0,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5.0,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,,0.1625,0.0225,0.0625,0.0075,0.02375,0.011607142857142858,0.0045,0.0078125,0.0075,0.02375,0.47919999999999996,0.585,11.0,0
