games_x,turnovers,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,MVP,ranking,win_percentage,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score
76,189,25.1,31.1,8.1,3.4,11.5,6.4,0.4,6.4,0,11,0.537,1.08,0.78,0.77,0.83,0.45,0.85
82,229,20.7,23.0,9.5,0.3,9.9,5.1,-2.1,3.6,0,2,0.695,0.75,1.14,0.3,0.35,0.02,0.97
76,145,24.1,25.5,10.2,3.1,13.4,5.4,0.1,5.5,0,2,0.695,0.98,0.36,0.97,0.58,0.47,0.93
67,171,29.7,31.8,9.2,4.0,13.2,7.1,0.9,6.1,0,0,0.707,1.14,0.44,1.05,0.32,0.95,1.01
82,209,22.9,27.2,10.1,2.5,12.6,5.2,-0.2,5.9,0,8,0.549,0.93,1.32,0.47,0.85,0.15,0.86
82,241,22.3,29.3,7.3,5.6,12.9,4.7,1.3,6.6,0,7,0.598,1.1,0.47,0.68,1.0,0.49,0.89
76,266,19.0,32.3,3.2,2.6,5.8,2.6,-1.2,2.4,0,5,0.61,0.9,0.78,0.41,0.54,0.23,0.75
82,208,21.9,19.8,8.0,2.6,10.7,4.1,1.3,4.8,0,9,0.537,0.56,1.21,0.31,0.98,0.13,0.93
71,140,19.3,23.2,6.8,3.0,9.9,3.2,-0.2,3.3,0,-1,0.744,0.89,0.36,0.51,0.61,0.09,0.95
54,158,24.4,29.0,4.8,3.9,8.6,3.8,1.6,3.9,0,-1,0.744,1.03,0.7,0.99,0.89,0.66,0.87
74,134,20.4,24.1,7.0,2.9,9.9,4.3,0.3,3.8,0,5,0.61,0.72,0.58,0.35,0.46,0.09,0.85
82,288,26.2,32.9,11.0,4.0,14.9,6.3,0.7,7.7,0,4,0.61,1.33,0.87,0.65,1.2,0.36,0.81
78,177,22.3,26.5,8.8,0.8,9.6,3.9,-1.2,3.2,0,14,0.512,0.88,0.86,0.42,0.61,0.08,0.83
81,248,26.9,28.0,9.5,6.9,16.5,5.0,2.5,7.7,0,0,0.732,1.03,0.58,1.22,0.37,1.3,0.86
69,114,17.6,24.2,4.3,2.5,6.7,2.4,-0.8,2.4,0,-1,0.732,0.86,0.44,0.55,0.6,0.13,0.8
81,299,20.6,26.1,7.4,3.7,11.1,3.4,0.3,4.8,0,13,0.524,0.93,0.92,0.59,0.95,0.23,0.78
82,229,26.4,26.4,9.8,5.8,15.6,6.0,2.4,8.7,1,2,0.622,1.02,0.9,1.28,0.75,0.7,0.85
82,286,21.2,32.9,5.0,4.2,9.2,3.2,0.2,4.8,0,8,0.585,1.23,0.82,0.4,1.49,0.07,0.73
80,296,22.2,25.9,5.5,5.8,11.3,4.8,1.8,6.5,0,6,0.598,0.83,1.32,0.6,1.22,0.14,0.78
65,55,18.3,19.1,4.2,3.4,7.7,2.5,2.1,3.3,0,6,0.598,0.58,0.39,0.37,0.84,0.2,0.87
81,210,21.7,27.8,6.9,4.3,11.1,3.2,1.0,4.6,0,9,0.573,0.92,0.7,0.74,0.91,0.17,0.78
81,263,20.1,27.7,7.1,2.5,9.6,3.7,-0.7,4.0,0,11,0.537,0.99,1.2,0.31,0.72,0.11,0.78
81,157,21.3,23.3,7.3,5.8,13.0,3.9,1.7,6.5,0,11,0.537,0.94,0.36,0.91,1.24,0.52,0.84
82,230,18.0,27.1,5.4,3.6,9.0,2.6,-0.4,3.5,0,10,0.573,0.96,0.84,0.58,0.55,0.09,0.77
75,195,30.3,35.2,13.2,2.9,16.1,9.8,0.7,9.3,0,15,0.512,1.43,0.81,0.62,0.9,0.35,0.85
73,118,19.3,18.7,6.1,3.4,9.6,2.2,0.8,2.9,0,7,0.585,0.58,0.39,0.78,0.48,0.26,0.83
82,192,22.6,24.4,9.7,1.9,11.6,5.4,-0.8,4.5,0,-1,0.732,0.79,1.08,0.27,0.57,0.03,0.86
80,152,25.6,27.4,10.8,5.3,16.1,5.8,1.4,7.3,0,-1,0.732,1.12,0.44,0.94,0.76,0.45,0.86
67,196,29.5,30.2,10.2,3.0,13.2,6.4,0.1,5.5,0,4,0.61,1.22,0.46,1.05,0.31,1.05,0.96
52,131,21.4,27.1,4.3,1.9,6.2,4.0,0.1,3.2,0,16,0.488,0.93,1.31,0.45,0.97,0.1,0.78
79,288,22.7,33.2,5.3,4.8,10.1,4.2,0.7,5.4,0,12,0.537,1.15,0.66,0.7,0.96,0.35,0.76
74,140,18.5,23.3,5.1,3.4,8.5,2.3,0.2,3.1,0,3,0.61,0.81,0.31,0.7,0.52,0.46,0.87
56,156,21.7,27.8,6.5,0.4,6.9,5.5,-1.5,3.2,0,16,0.451,0.94,0.67,0.5,0.68,0.09,0.8
82,175,19.3,22.9,8.0,1.3,9.3,3.4,-1.0,3.3,0,3,0.671,0.75,0.76,0.33,0.74,0.1,0.8
78,189,18.6,23.5,7.1,4.2,11.3,3.1,0.5,3.9,0,4,0.659,0.69,0.8,0.34,0.58,0.05,0.72
65,171,23.7,29.1,7.8,3.0,10.7,5.1,0.5,4.7,0,2,0.683,0.98,0.71,0.54,0.93,0.2,0.73
81,220,22.8,27.2,8.8,3.3,12.1,4.1,0.3,4.6,0,0,0.707,0.81,1.02,0.33,0.68,0.1,0.81
67,215,20.7,30.1,4.3,3.2,7.5,4.7,0.5,4.8,0,14,0.5,0.94,1.05,0.42,1.27,0.19,0.72
69,183,27.1,29.7,5.9,7.2,13.1,5.2,3.3,6.7,0,1,0.695,0.91,0.43,1.21,0.48,1.25,0.78
72,83,17.8,20.9,7.0,0.5,7.6,3.0,-1.2,2.7,0,5,0.634,0.76,0.41,0.44,0.63,0.25,0.79
82,212,29.4,29.6,10.4,8.0,18.3,6.8,3.3,10.0,0,0,0.707,0.99,0.7,1.35,0.79,1.02,0.78
78,187,21.7,26.8,5.3,2.8,8.1,2.9,0.1,3.0,0,6,0.61,0.73,0.36,0.75,0.3,0.79,0.75
67,214,19.7,24.6,2.8,4.4,7.2,3.4,1.3,4.2,0,7,0.573,0.63,1.29,0.62,0.98,0.1,0.68
78,215,22.6,21.9,6.5,5.0,11.6,5.0,2.9,7.2,0,10,0.512,0.67,0.44,0.78,1.03,1.29,0.75
82,215,18.8,20.7,6.1,2.6,8.8,2.2,0.4,3.3,0,9,0.524,0.61,0.85,0.43,0.93,0.14,0.72
78,209,20.5,19.5,8.9,-0.1,8.8,4.7,-2.2,3.0,1,5,0.634,0.59,1.23,0.29,0.46,0.05,0.83
77,135,22.5,24.5,9.0,2.5,11.5,3.8,0.0,4.3,0,5,0.634,0.89,0.38,0.85,0.64,0.63,0.78
67,195,24.4,26.3,5.9,4.0,9.9,3.8,1.0,4.1,0,2,0.683,0.88,0.41,1.12,0.27,1.16,0.91
82,116,19.9,26.3,8.4,1.3,9.7,3.8,-1.3,3.5,0,13,0.5,0.89,0.32,0.48,0.53,0.03,0.75
78,171,20.9,28.0,9.7,1.0,10.7,5.3,-1.2,4.8,0,4,0.634,0.93,0.51,0.43,0.58,0.03,0.74
80,242,21.3,27.3,9.2,2.3,11.5,4.7,-0.4,5.2,0,10,0.549,0.99,0.7,0.46,0.93,0.13,0.74
80,203,19.2,23.8,6.6,1.9,8.5,3.1,-0.5,3.6,0,6,0.61,0.77,0.93,0.4,0.83,0.17,0.73
80,180,19.0,20.7,8.6,3.5,12.1,3.6,0.6,4.5,0,3,0.659,0.64,0.8,0.33,0.54,0.05,0.79
57,146,24.5,32.9,5.4,3.1,8.5,6.2,0.8,5.1,0,16,0.512,1.07,0.64,0.57,0.78,0.26,0.75
66,127,27.0,28.9,5.5,5.7,11.2,4.8,2.8,5.4,0,0,0.72,0.79,0.37,1.08,0.36,1.2,0.74
82,222,28.2,27.1,10.1,6.0,16.1,6.5,3.0,9.1,0,12,0.537,0.86,0.78,1.32,0.79,0.62,0.75
56,137,22.5,26.2,4.1,2.8,6.8,2.9,1.1,2.7,0,9,0.549,0.69,0.33,0.71,0.35,0.76,0.76
74,172,22.3,24.3,6.4,4.6,11.0,4.1,2.8,4.9,0,0,0.72,0.62,0.53,0.43,0.86,0.16,0.79
61,153,21.6,26.6,4.6,3.1,7.7,2.4,1.9,3.7,0,10,0.549,0.86,0.64,0.61,1.54,0.14,0.68
75,344,23.2,35.0,5.3,3.7,9.0,4.2,0.0,5.0,0,14,0.524,1.2,1.09,0.39,1.28,0.05,0.67
80,262,25.7,29.7,9.7,4.6,14.3,7.0,1.7,9.1,0,15,0.512,1.06,0.99,0.72,1.18,0.3,0.75
66,167,19.5,21.3,3.1,4.2,7.2,3.3,1.4,4.1,0,16,0.512,0.56,1.13,0.72,0.99,0.06,0.7
78,201,22.9,31.2,6.5,5.4,12.0,5.2,1.5,6.9,0,5,0.622,1.0,0.79,0.61,0.92,0.31,0.7
56,82,20.7,17.4,6.3,2.3,8.6,2.7,1.4,3.1,0,6,0.61,0.61,0.54,0.91,0.66,0.55,0.78
75,245,22.0,20.5,9.7,1.2,10.9,5.5,-0.8,4.4,1,-1,0.756,0.61,1.57,0.32,0.53,0.04,0.83
78,176,26.1,28.7,10.3,5.2,15.6,5.8,1.5,7.1,0,2,0.707,1.02,0.42,0.95,0.66,0.7,0.73
73,203,27.0,30.5,6.4,4.6,11.0,4.1,1.2,4.6,0,1,0.72,0.89,0.38,1.02,0.26,1.07,0.89
82,230,21.8,26.6,7.7,3.6,11.2,4.0,0.7,4.9,0,11,0.549,0.84,0.58,0.64,0.86,0.22,0.74
77,321,23.1,30.9,6.7,4.3,11.0,3.9,0.7,4.9,0,1,0.72,0.94,0.93,0.5,0.84,0.48,0.72
80,218,22.0,32.0,6.8,2.6,9.4,3.5,-0.9,3.5,0,10,0.537,1.05,0.37,0.46,0.6,0.25,0.74
80,297,23.8,30.5,11.0,2.6,13.6,5.4,0.0,6.3,0,11,0.512,1.16,0.82,0.33,1.1,0.15,0.76
82,199,17.9,25.4,6.0,2.4,8.4,2.7,-1.2,2.8,0,9,0.537,0.83,0.73,0.28,0.55,0.06,0.75
81,170,23.4,22.9,12.7,2.8,15.5,6.2,0.1,6.1,0,-1,0.78,0.73,1.17,0.29,0.48,0.05,0.76
79,173,26.5,27.7,9.3,5.5,14.8,5.1,1.6,6.8,0,7,0.573,0.98,0.36,0.94,0.56,1.21,0.79
80,250,28.0,38.7,11.6,3.7,15.3,7.4,0.2,8.0,0,8,0.549,1.4,0.61,0.5,1.01,0.18,0.73
79,213,21.6,32.3,4.9,4.4,9.3,4.5,0.5,5.2,0,6,0.598,0.96,0.58,0.55,0.65,0.32,0.7
78,175,18.5,25.0,4.8,2.8,7.6,2.1,-0.5,2.4,0,7,0.573,0.68,0.85,0.35,0.52,0.07,0.71
80,198,23.1,27.7,3.9,6.9,10.8,2.3,2.6,4.9,0,0,0.768,0.73,0.43,1.03,0.48,0.96,0.72
80,235,22.7,26.4,6.6,5.4,12.0,3.9,1.7,6.0,0,5,0.598,0.8,0.63,0.84,0.31,0.91,0.75
65,121,22.4,25.0,5.1,3.7,8.8,3.8,3.0,4.1,0,0,0.768,0.6,0.49,0.33,0.85,0.19,0.78
79,260,28.1,33.6,12.0,4.3,16.3,7.5,1.6,9.4,0,4,0.61,1.24,0.89,0.66,0.85,0.4,0.77
78,174,18.9,22.1,7.6,4.1,11.7,2.6,0.5,3.9,0,6,0.598,0.77,0.52,0.64,0.42,0.1,0.78
80,192,19.2,19.1,4.5,5.6,10.1,2.8,2.6,5.5,0,6,0.598,0.53,1.14,0.68,1.03,0.17,0.72
69,203,20.7,20.5,3.6,4.3,7.9,3.4,3.1,5.6,0,12,0.5,0.6,0.59,0.75,0.81,1.52,0.72
79,276,23.3,23.3,10.3,2.1,12.4,5.7,-0.7,4.9,0,2,0.659,0.75,1.42,0.4,0.42,0.07,0.87
81,156,28.1,30.0,13.5,4.3,17.7,7.8,0.4,7.9,1,1,0.732,1.05,0.38,0.84,0.39,0.49,0.77
82,163,19.0,23.5,6.3,3.0,9.3,2.4,-0.8,2.7,0,12,0.5,0.71,0.32,0.85,0.27,0.42,0.74
80,249,20.8,27.1,5.5,4.1,9.6,2.4,0.4,3.3,0,0,0.768,0.75,0.78,0.31,0.57,0.02,0.83
78,183,22.1,22.2,6.8,3.6,10.4,3.0,2.2,5.1,0,16,0.463,0.64,1.06,0.48,1.23,0.04,0.68
80,170,21.2,28.3,8.8,2.0,10.8,4.7,-0.9,4.6,0,15,0.488,1.0,0.39,0.4,0.65,0.03,0.75
75,268,27.6,32.5,10.2,4.2,14.4,5.9,1.8,7.1,0,3,0.634,1.08,0.91,0.54,1.07,0.37,0.75
65,234,22.1,33.4,5.2,2.1,7.3,3.2,-1.3,2.5,0,8,0.549,1.23,0.5,0.56,0.63,0.17,0.73
74,236,24.0,31.4,9.3,1.5,10.8,5.5,-0.8,5.0,0,12,0.5,1.21,0.78,0.42,1.0,0.09,0.72
80,146,18.4,23.4,6.1,2.1,8.2,2.6,0.1,3.1,0,0,0.744,0.77,0.51,0.25,0.64,0.09,0.84
70,140,21.3,21.5,8.7,2.7,11.4,4.2,0.5,4.3,0,2,0.646,0.72,0.93,0.31,0.64,0.12,0.74
74,194,24.1,26.5,6.5,3.4,9.9,4.4,0.2,4.3,0,4,0.622,0.89,0.39,1.09,0.5,0.14,0.84
69,179,22.6,26.7,6.1,3.5,9.6,2.8,-0.1,3.1,0,7,0.573,0.96,0.33,0.99,0.3,0.64,0.75
80,202,23.1,24.3,7.2,4.3,11.5,3.4,0.8,4.8,0,14,0.488,0.87,0.38,0.86,0.51,1.11,0.8
77,255,26.1,33.6,10.8,2.2,13.0,6.4,-0.5,6.1,1,11,0.512,1.34,0.69,0.53,0.76,0.23,0.75
82,217,21.8,30.8,7.4,3.1,10.5,4.3,-0.4,4.6,0,13,0.5,1.07,0.62,0.56,0.53,0.18,0.75
63,193,21.0,26.5,4.1,2.3,6.4,3.1,0.5,3.2,0,10,0.512,0.85,1.05,0.41,1.14,0.23,0.72
80,224,26.1,27.9,6.3,6.8,13.0,3.8,3.2,6.2,0,1,0.707,0.85,0.44,0.98,0.44,1.17,0.82
75,157,24.1,27.1,6.3,4.3,10.6,5.3,2.5,5.1,0,1,0.707,0.7,0.45,0.4,0.77,0.18,0.8
82,249,18.2,29.3,4.7,3.9,8.6,2.5,-0.1,3.0,0,6,0.598,0.91,0.47,0.29,0.41,0.1,0.77
78,250,24.5,31.0,8.0,5.7,13.7,5.9,2.2,8.1,0,5,0.61,1.16,0.78,0.62,0.85,0.35,0.76
80,213,19.4,19.4,5.1,4.1,9.3,3.1,1.5,4.9,0,13,0.5,0.55,1.19,0.76,0.84,0.14,0.71
71,213,23.2,35.0,4.1,4.5,8.6,4.9,1.2,5.2,0,3,0.634,1.05,0.83,0.49,0.69,0.25,0.71
76,287,23.8,22.9,10.8,1.7,12.6,6.7,-0.8,5.3,0,0,0.744,0.79,1.5,0.33,0.4,0.04,0.92
78,167,27.6,28.9,11.8,4.5,16.3,7.2,1.2,7.4,0,-1,0.817,1.05,0.44,0.82,0.36,0.39,0.79
77,191,21.4,27.4,5.8,3.9,9.6,2.7,0.4,3.2,0,1,0.707,0.79,0.71,0.3,0.56,0.04,0.79
64,161,22.0,23.1,6.2,2.6,8.8,3.6,1.4,4.2,0,16,0.476,0.73,1.15,0.41,0.98,0.02,0.7
81,152,18.9,21.3,7.7,3.1,10.8,3.9,0.1,4.3,0,-1,0.817,0.71,0.67,0.26,0.53,0.1,0.84
51,216,28.9,34.7,5.9,2.9,8.8,6.3,1.8,4.9,0,9,0.537,1.17,0.97,0.43,1.11,0.6,0.75
77,253,21.1,30.2,5.2,3.0,8.2,2.5,-0.9,2.5,0,9,0.61,1.09,0.43,0.72,0.73,0.27,0.74
78,160,23.6,23.0,10.2,3.4,13.5,6.5,1.2,6.2,0,0,0.72,0.72,0.88,0.26,0.75,0.12,0.76
81,210,21.9,26.6,5.9,4.3,10.2,2.5,0.3,3.5,0,6,0.659,0.89,0.37,1.01,0.71,0.27,0.79
67,153,23.8,27.7,7.0,3.1,10.1,4.0,0.4,3.9,0,14,0.5,0.95,0.33,0.84,0.54,0.53,0.72
82,257,24.2,31.4,9.5,4.3,13.8,5.2,0.6,6.3,0,1,0.695,1.2,0.7,0.61,1.06,0.26,0.73
58,150,20.7,24.0,4.8,2.4,7.2,3.0,1.1,3.5,0,12,0.524,0.86,0.63,0.65,1.28,0.18,0.72
82,232,19.8,25.6,5.9,2.8,8.7,3.2,0.3,4.5,0,10,0.585,0.92,0.98,0.46,1.35,0.27,0.7
78,178,24.4,28.2,4.9,6.2,11.1,3.0,2.2,4.8,0,2,0.683,0.82,0.36,1.09,0.42,1.03,0.72
71,138,25.3,25.5,6.6,6.2,12.9,4.7,3.5,6.0,0,-1,0.805,0.8,0.45,0.9,0.82,0.66,0.78
74,200,24.3,28.7,6.6,4.5,11.1,5.6,2.7,6.0,0,2,0.683,0.83,0.58,0.46,0.85,0.24,0.78
72,132,18.2,24.5,4.8,2.9,7.7,2.3,0.1,2.6,0,0,0.72,0.73,0.54,0.32,0.58,0.07,0.74
82,214,19.0,23.8,5.3,4.4,9.6,2.5,1.5,4.9,0,15,0.488,0.84,0.62,0.53,1.21,0.32,0.71
82,245,20.9,26.7,8.9,2.8,11.6,3.4,-0.7,4.0,0,9,0.61,1.12,0.93,0.29,1.13,0.08,0.7
75,255,29.1,33.5,10.7,4.6,15.2,8.2,2.6,9.8,1,11,0.549,1.27,0.93,0.77,1.06,0.57,0.75
