Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PPG,APG,RPG,SPG,BPG,PPG_Score,APG_Score,RPG_Score,SPG_Score,BPG_Score,eFG%_Score,per,usagePercent,offensiveWs,winShares,offensiveBox,vorp,win_percentage,ranking,MVP
32.0,Jaylen Brown,28.0,BOS,SF,63.0,63.0,34.3,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,AS,0.35238095238095235,0.07142857142857142,0.09206349206349206,0.019047619047619046,0.0047619047619047615,0.025170068027210883,0.014285714285714285,0.011507936507936507,0.019047619047619046,0.0047619047619047615,0.41200000000000003,17.8,28.9,2.3,5.2,0.4,1.1,0.744,3.0,0
33.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,35.9,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,,0.2883116883116883,0.05714285714285715,0.050649350649350645,0.01038961038961039,0.005194805194805195,0.02059369202226345,0.01142857142857143,0.006331168831168831,0.01038961038961039,0.005194805194805195,0.4072,17.7,25.0,5.7,7.1,1.2,1.3,0.488,17.0,0
35.0,Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,29.8,8.0,16.4,0.488,2.0,5.3,0.375,6.0,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,"DPOY-7,AS,DEF2",0.3,0.02702702702702703,0.07567567567567567,0.016216216216216217,0.02027027027027027,0.02142857142857143,0.005405405405405406,0.009459459459459458,0.016216216216216217,0.02027027027027027,0.4384,19.6,28.1,3.2,6.4,1.6,2.4,0.585,13.0,0
36.0,Norman Powell,31.0,LAC,SG,60.0,60.0,32.6,7.6,15.8,0.484,3.0,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,,0.36333333333333334,0.035,0.05333333333333334,0.02,0.0033333333333333335,0.025952380952380952,0.007000000000000001,0.006666666666666667,0.02,0.0033333333333333335,0.4624,17.5,26.1,2.9,5.3,1.7,1.8,0.61,9.0,0
37.0,Jalen Williams,23.0,OKC,SG,69.0,69.0,32.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12.0,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,"AS,NBA3,DEF2",0.3130434782608696,0.07391304347826086,0.07681159420289854,0.02318840579710145,0.010144927536231883,0.02236024844720497,0.014782608695652172,0.009601449275362318,0.02318840579710145,0.010144927536231883,0.42960000000000004,20.3,27.5,3.7,7.8,2.7,3.4,0.829,1.0,0
39.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,36.1,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.3,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,,0.31940298507462683,0.08955223880597014,0.058208955223880594,0.0208955223880597,0.007462686567164179,0.022814498933901917,0.017910447761194027,0.007276119402985074,0.0208955223880597,0.007462686567164179,0.4344,17.8,24.0,4.6,6.2,1.8,1.7,0.61,8.0,0
43.0,Jalen Green,22.0,HOU,SG,82.0,82.0,32.9,7.4,17.5,0.423,2.9,8.1,0.354,4.6,9.5,0.482,0.505,3.3,4.1,0.813,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,,0.25609756097560976,0.041463414634146344,0.05609756097560975,0.010975609756097562,0.0036585365853658534,0.018292682926829267,0.008292682926829269,0.007012195121951219,0.010975609756097562,0.0036585365853658534,0.404,15.1,27.3,1.9,5.1,1.1,1.7,0.634,4.0,0
45.0,Darius Garland,25.0,CLE,PG,75.0,75.0,30.7,7.4,15.7,0.472,2.8,7.1,0.401,4.6,8.6,0.53,0.562,3.0,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,"CPOY-6,AS",0.27466666666666667,0.08933333333333333,0.03866666666666667,0.016,0.0013333333333333335,0.01961904761904762,0.017866666666666666,0.004833333333333334,0.016,0.0013333333333333335,0.44960000000000006,19.9,27.2,5.8,8.1,3.9,3.0,0.78,2.0,0
47.0,Coby White,24.0,CHI,SG,74.0,73.0,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.9,7.3,0.544,0.55,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,,0.27567567567567564,0.060810810810810814,0.05,0.012162162162162163,0.002702702702702703,0.01969111969111969,0.012162162162162163,0.00625,0.012162162162162163,0.002702702702702703,0.44000000000000006,15.5,24.4,3.0,4.5,0.5,0.7,0.476,18.0,0
49.0,Austin Reaves,26.0,LAL,SG,73.0,73.0,34.9,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,,0.27671232876712326,0.07945205479452054,0.06164383561643835,0.015068493150684932,0.00410958904109589,0.019765166340508806,0.01589041095890411,0.007705479452054794,0.015068493150684932,0.00410958904109589,0.44480000000000003,18.1,23.7,5.6,7.6,2.4,2.6,0.61,7.0,0
